Start: Thu Mar 16 16:30:27 PDT 2017

Parameter Sweeps

Number of parameters swept: 5

Table of parameters swept 
public	double	sexuality	0.1	0.2	0.3	0.4	0.5	

Parameter values for the class class khMateChoice.Environment
females  1000
males  1000
similar  true
scaleK  10.0
exponentN  1.0
maxD  50.0
findLocalDate  false
dateSearchRadius  10
replacement  false
oneDate  false
sexuality  0.1
gridWidth  50
gridHeight  50
bounded  false
uniqueLocation  false
movement  true
aggregate  true
coordinate  false
hyperAggCoor  false
collisions  false
randomMovement  1.0
searchRadius  1
paramSweeps  true
simLength  201
simNumber  10
fileDataName  results.txt
folderDataName  data
scriptName  script.txt
precision  %.3f
simulationTitle  Parameter Sweeps
dataSamplingInterval  10

Sweep Number:	1
sexuality	0.1
Step	Reps	pairs	FA	MA	Corr
30.000	10.000	0.000	0.026	0.036	0.006
40.000	10.000	0.000	0.026	0.036	0.006
50.000	10.000	0.000	0.026	0.036	0.006
60.000	10.000	0.000	0.026	0.036	0.006
70.000	10.000	0.000	0.026	0.036	0.006
80.000	10.000	0.000	0.026	0.036	0.006
90.000	10.000	0.000	0.026	0.036	0.006
100.000	10.000	0.000	0.026	0.036	0.006
110.000	10.000	0.000	0.026	0.036	0.006
120.000	10.000	0.000	0.026	0.036	0.006
130.000	10.000	0.000	0.026	0.036	0.006
140.000	10.000	0.000	0.026	0.036	0.006
150.000	10.000	0.000	0.026	0.036	0.006
160.000	10.000	0.000	0.026	0.036	0.006
170.000	10.000	0.000	0.026	0.036	0.006
180.000	10.000	0.000	0.026	0.036	0.006
190.000	10.000	0.000	0.026	0.036	0.006
200.000	10.000	0.000	0.026	0.036	0.006

Sweep Number:	4
sexuality	0.4
Step	Reps	pairs	FA	MA	Corr
1.000	10.000	929.800	5.518	5.479	0.594
10.000	10.000	998.600	5.496	5.494	0.586
20.000	10.000	999.900	5.493	5.497	0.582
30.000	10.000	1000.000	5.492	5.498	0.582
40.000	10.000	1000.000	5.492	5.498	0.582
50.000	10.000	1000.000	5.492	5.498	0.582
60.000	10.000	1000.000	5.492	5.498	0.582
70.000	10.000	1000.000	5.492	5.498	0.582
80.000	10.000	1000.000	5.492	5.498	0.582
90.000	10.000	1000.000	5.492	5.498	0.582
100.000	10.000	1000.000	5.492	5.498	0.582
110.000	10.000	1000.000	5.492	5.498	0.582
120.000	10.000	1000.000	5.492	5.498	0.582
130.000	10.000	1000.000	5.492	5.498	0.582
140.000	10.000	1000.000	5.492	5.498	0.582
150.000	10.000	1000.000	5.492	5.498	0.582
160.000	10.000	1000.000	5.492	5.498	0.582
170.000	10.000	1000.000	5.492	5.498	0.582
180.000	10.000	1000.000	5.492	5.498	0.582
190.000	10.000	1000.000	5.492	5.498	0.582
200.000	10.000	1000.000	5.492	5.498	0.582

Step	Reps	pairs	FA	MA	Corr
1.000	10.000	2.384	0.029	0.018	0.005
10.000	10.000	0.476	0.033	0.025	0.005
20.000	10.000	0.100	0.035	0.026	0.006
30.000	10.000	0.000	0.035	0.026	0.006
40.000	10.000	0.000	0.035	0.026	0.006
50.000	10.000	0.000	0.035	0.026	0.006
60.000	10.000	0.000	0.035	0.026	0.006
70.000	10.000	0.000	0.035	0.026	0.006
80.000	10.000	0.000	0.035	0.026	0.006
90.000	10.000	0.000	0.035	0.026	0.006
100.000	10.000	0.000	0.035	0.026	0.006
110.000	10.000	0.000	0.035	0.026	0.006
120.000	10.000	0.000	0.035	0.026	0.006
130.000	10.000	0.000	0.035	0.026	0.006
140.000	10.000	0.000	0.035	0.026	0.006
150.000	10.000	0.000	0.035	0.026	0.006
160.000	10.000	0.000	0.035	0.026	0.006
